"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"spruf95.pdf","GPIO pin direction control (DIR01)","Configuration","Each GPIO pin can be individually configured as input or output using the DIR01 register. By default, all pins power up as inputs with bit value 1. Clearing a DIR bit sets the corresponding pin to output, while setting it selects input. Direction applies per pin across two 16-pin banks. Correct direction configuration is foundational before any data or interrupt operations.","Section 3.3 DIR01; Sections 2.6, 2.7; Table 1","Explicit","PSC enabled; Pin multiplexing configured; Correct DIR01 bits set","YES","Always verify pin multiplexing before changing DIR to avoid driving non-GPIO functions."
"spruf95.pdf","Atomic set/clear outputs via separate registers (SET_DATA01/CLR_DATA01)","Configuration","The peripheral provides separate write-only set and clear registers to drive outputs high or low atomically. Writing 1 to SET_DATA01 drives selected outputs high; writing 1 to CLR_DATA01 drives them low. Bits written as 0 have no effect, allowing concurrent software to manipulate different pins without read-modify-write races. Reads of these registers return the output drive state. These operations only affect pins configured as outputs.","Section 1.2 Features; Sections 2.6.2, 3.5 SET_DATA01, 3.6 CLR_DATA01","Explicit","DIRn=0 for affected pins; PSC enabled","YES","Prefer SET/CLR for concurrency-safe updates instead of read-modify-write on OUT_DATA01."
"spruf95.pdf","Unified output control via OUT_DATA01","Configuration","A single output data register mirrors the desired drive level for all GPIO pins. Writing a value updates the drive state of all pins configured as outputs, enabling bulk updates. Reads return the register value, not necessarily the actual pin voltage if the pin is not configured as GPIO. For input-configured pins, writes have no effect. Use caution to preserve unrelated output bits when updating this register.","Section 1.2 Features; Section 3.4 OUT_DATA01; Sections 2.6.2.1–2.6.2.2","Explicit","DIRn=0 for affected pins; Correct masking during updates","YES","Use masked read-modify-write when only a subset of outputs must change."
"spruf95.pdf","Separate input and output data paths (IN_DATA01 vs OUT_DATA01)","Interfaces","The GPIO module separates input sampling from output drive control. OUT_DATA01 reflects the commanded output drive state, while IN_DATA01 reflects the synchronized logic level on the external pin. For pins configured as outputs, IN_DATA01 returns the device-driven value; for inputs, it returns the sampled input level synchronized to the GPIO clock. This separation enables reliable state verification and input polling independent of output register writes. For wired-logic or open-drain use cases described in the device manual, IN_DATA01 returns the wired-OR level.","Section 1.2 Features; Sections 2.6.2, 2.7.2; Sections 3.4, 3.7","Explicit","PSC enabled; GPIO clock active; Potential external pull-ups for open-drain (device manual)","YES","Always read IN_DATA01 to confirm the actual pin level, especially with external wiring that can override outputs."
"spruf95.pdf","Per-pin interrupt generation with configurable edge selection","Interrupts","Every GPIO can act as an interrupt source with programmable edge sensitivity. Rising edges are enabled via SET_RIS_TRIG01 and disabled via CLR_RIS_TRIG01; falling edges are enabled via SET_FAL_TRIG01 and disabled via CLR_FAL_TRIG01. Edges are detected synchronously to the GPIO peripheral clock. Direction does not need to be input; software-driven edges on outputs can also generate interrupts. This flexibility supports both external event capture and software signaling for test.","Section 1.2 Features; Sections 2.10.3, 3.8–3.11","Explicit","BINTEN bank enable set; GPIO clock active; Proper edge registers programmed","YES","Avoid enabling both edges unless necessary to reduce interrupt rate on noisy signals."
"spruf95.pdf","Banked interrupt enable per 16-pin bank (BINTEN)","Interrupts","Interrupt events from GPIOs are enabled in banks of 16 pins. The BINTEN register provides EN0 and EN1 bits to gate interrupt (and EDMA) events for banks 0 and 1. Disabling a bank prevents any pin in that bank from requesting CPU interrupts. This offers coarse-grained control for power or noise management. Bank-to-pin mapping follows the numbering GP[15:0] for bank 0 and GP[31:16] for bank 1.","Section 2.10.2; Section 3.2 BINTEN; Table 1","Explicit","BINTEN.EN0/EN1 set as required; System interrupt routing configured (device manual)","YES","Gate entire banks during idle modes to suppress spurious wakeups."
"spruf95.pdf","Interrupt status with write-1-to-clear (INTSTAT01)","Interrupts","The GPIO interrupt status register provides per-pin pending status. A logic 1 indicates a pending interrupt and is cleared by writing 1 to the same bit (W1C semantics). Bits read as 0 when no interrupt is pending. Software must poll or service and clear all asserted bits to avoid missed events. This status applies across both banks within the single 32-bit view.","Sections 2.10.4–2.10.5; Section 3.12 INTSTAT01","Explicit","GPIO interrupt sources configured; CPU/SoC interrupt controller mapping (device manual)","YES","Always clear only the serviced bits to avoid accidentally acknowledging unrelated events."
"spruf95.pdf","EDMA synchronization/event generation from GPIO","DMA/Buffering","GPIO pins can generate synchronization events to the Enhanced DMA controller. This enables DMA-driven data movement or timestamping triggered by external GPIO edges. Bank enables in BINTEN affect EDMA event generation as well as interrupts. The specific event mappings and channels are device-specific. Proper configuration allows low-latency, CPU-offloaded reactions to GPIO activity.","Section 1.2 Features; Section 2.11","Explicit","EDMA event mapping per device manual; BINTEN bank enable; Edge trigger configuration","YES","Consult the device data manual for exact EDMA channel numbers and routing."
"spruf95.pdf","Two-bank architecture supporting up to 32 GPIO pins","Architecture","The module implements up to 32 GPIO signals as two banks of 16. Control registers are organized as 32-bit registers that address both banks together, with bit positions matching GPIO indices. Register naming uses the XY suffix to denote covered banks (e.g., DIR01 for banks 0 and 1). Each pin’s control is consistently located at its bit index across all control registers. This uniformity simplifies generic driver code and pin abstractions.","Sections 2.2, 2.5; Table 1; Section 3 overview","Explicit","UNKNOWN","YES","Use bit-indexed macros to address the same pin across DIR, OUT, SET/CLR, and interrupt registers."
"spruf95.pdf","Clock control via PSC; GPIO clock at CPU/6","Power/Clock","The GPIO peripheral clock is disabled by default and must be enabled via the local Power and Sleep Controller (PSC). Once enabled, the GPIO peripheral clock runs at CPU/6. All signal sampling, edge detection, and register synchronization are referenced to this clock. Software must ensure the clock is active before accessing GPIO registers. Improper clock gating can stall input sampling and interrupt generation.","Section 2.1 Clock Control","Explicit","PSC module configured to enable GPIO; System CPU frequency known","YES","Enable the PSC domain before any GPIO access; disable when idle to save power if no interrupts are required."
"spruf95.pdf","Low-power behavior and power management via PSC","Power","The PSC can place the GPIO module in reduced-power states to conserve energy. While in low-power state, interrupt generation is suspended and resumes only after reactivation. Output pin states are maintained across low-power entry. Software must manage PSC transitions alongside interrupt configuration to avoid lost events. This mechanism supports power-aware applications without disturbing outputs.","Section 2.12 Power Management","Explicit","PSC transitions coordinated with system power policy; Interrupts re-enabled on wake","YES","Re-arm edge detection after wake if inputs may have toggled while the module was off."
"spruf95.pdf","Initialization sequence requirements","Initialization","After hardware reset, software must perform pin multiplexing, enable the GPIO module via PSC, and program direction/data/interrupt control registers. This ordered sequence ensures pins are not accidentally driven during reconfiguration. Completing these steps prepares the module for data and interrupt transactions. Failure to follow the sequence can lead to bus contention or lost events. The sequence is device-agnostic but relies on device-specific pinmux settings.","Section 2.9 Initialization","Explicit","Pinmux settings (device manual); PSC enablement; DIR/OUT/INT registers configured","YES","Apply pinmux first, then enable clock, then configure DIR and data to avoid glitches."
"spruf95.pdf","Reset behavior: software vs hardware and PSC reset","Reset","A software emulator reset does not change GPIO configuration or signal state. A PSC-based reset (clock disable, PSC reset, then enable) restores default configuration register settings. A hardware reset returns configuration and data registers to defaults, affecting GPIO signal states. Understanding these differences is critical for robust recovery and boot flows. Software should explicitly reinitialize after hardware or PSC resets.","Sections 2.8.1–2.8.2","Explicit","Reset source identification in system; Boot code reinitialization","YES","Treat emulator reset as non-destructive; always run full init after hardware or PSC resets."
"spruf95.pdf","Pin multiplexing considerations for GPIO pins","Interfaces","The device uses extensive pin multiplexing to share package pins among peripherals. Pinmux is controlled by hardware reset configuration and programmable registers outside the GPIO module. GPIO functionality on a given pin is available only when the pin is muxed to GPIO. The device data manual defines the exact pinout and mux options. Software must align pinmux with intended GPIO usage before configuring DIR and data.","Section 2.3 Pin Multiplexing","Explicit","Device-specific pinmux registers; Boot strap settings; PSC enabled","YES","Validate pin ownership to avoid driving pins used by other peripherals."
"spruf95.pdf","Endianness independence of GPIO operation","Configuration","GPIO operation is independent of CPU endianness. Register semantics and bit positions are unchanged in little- or big-endian modes. This simplifies driver portability across system configurations. No special handling is required for byte ordering when accessing GPIO registers. It reduces integration risk in mixed-endian systems.","Section 2.4 Endianness Considerations","Explicit","UNKNOWN","NO","Standard memory-mapped register access APIs are sufficient regardless of endianness."
"spruf95.pdf","Emulation unaffected by suspend events","Debug","The GPIO module is not impacted by emulation suspend events such as halts and breakpoints. GPIO states and timers continue logically according to hardware behavior. This allows interactive debug without unintended reconfiguration of the peripheral. Developers should still account for real-time effects when the CPU is halted. Interrupt side effects may accumulate while code is paused.","Section 2.13 Emulation Considerations","Explicit","UNKNOWN","NO","Use caution when halting during active edge traffic; service pending INTSTAT bits on resume."
"spruf95.pdf","Peripheral identification via PID register","Debug","The PID register exposes peripheral identification including scheme, function code, and revision fields. It enables software to verify the GPIO IP version at runtime. The function value for GPIO is 0x483 with major 0x1 and minor 0x5 per this document. Reading PID is read-only and safe at any time. Version-aware drivers can apply workarounds based on PID contents.","Section 3.1 PID; Figure 2; Table 3","Explicit","UNKNOWN","NO","Log PID at boot to aid field diagnostics and support."
"spruf95.pdf","Input sampling synchronized to GPIO clock","Performance","IN_DATA01 returns the pin state synchronized to the GPIO peripheral clock domain. This mitigates metastability and ensures stable sampling of asynchronous inputs. For output-configured pins, the readback matches the driven level. For inputs, latency is one or more clock cycles relative to the external transition. Designs relying on precise timing must account for this synchronization delay.","Section 2.7.2; Section 3.7 IN_DATA01","Explicit","GPIO clock active (CPU/6); Proper signal conditioning","YES","Debounce or filter noisy inputs in software or hardware as needed."
"spruf95.pdf","Direction-independent interrupt generation (software-generated edges)","Interrupts","Interrupt generation does not require the pin to be configured as an input. When a GPIO is configured as an output, software-induced transitions can produce interrupts via the edge detectors. This capability is useful for verifying interrupt routing and testing without external stimulus. It also enables inter-core or software signaling patterns using GPIO. Care must be taken to avoid unintended feedback loops.","Section 2.10.3 (last paragraph)","Explicit","BINTEN bank enable; Edge trigger bits set; DIR set to output for software-driven tests","YES","Disable EDMA/CPU handlers during loopback tests to prevent spurious system effects."
"spruf95.pdf","Read-modify-write guidance for OUT_DATA01","Performance","The OUT_DATA01 register supports read-modify-write updates to change specific outputs. Because the write updates all bits, masking is required to avoid disturbing unrelated pins. Using SET/CLR is generally safer for concurrent contexts. However, bulk updates via OUT_DATA01 are efficient for batched state changes. The choice depends on atomicity requirements and software architecture.","Sections 2.6.2.1–2.6.2.2; Section 3.4 OUT_DATA01","Explicit","Proper software masking; Interrupts potentially disabled during critical updates","YES","Prefer SET/CLR in multi-threaded or ISR-preemptible paths; reserve OUT_DATA01 for controlled bulk writes."